Date,Open,High,Low,Close,Adj Close,Volume
27-10-2022,221.800003,226.899994,221.100006,225.850006,223.766037,12783887
28-10-2022,227,227.699997,222.550003,225.050003,222.973419,13141721
31-10-2022,228.100006,229,224.199997,226,223.914642,22697530
01-11-2022,226.5,231.350006,226.5,230.600006,228.472214,16978101
02-11-2022,230,231.800003,227.800003,229.050003,226.936508,9478217
03-11-2022,228.199997,229.5,225.75,227.399994,225.301727,9095013
04-11-2022,227.699997,229.399994,226.75,228.300003,226.193436,8681681
07-11-2022,228.350006,230.399994,226.899994,229.149994,227.035583,9570452
09-11-2022,230.100006,234.5,228.850006,231.350006,229.215286,16625632
10-11-2022,231.199997,233.399994,228.5,229.199997,227.085114,8944902
11-11-2022,232,232,229.199997,229.75,227.630051,7259679
14-11-2022,230.050003,230.399994,226.800003,227.699997,225.598953,7310857
15-11-2022,228.449997,230.25,228,229.5,227.382355,6426117
16-11-2022,229.5,230,222.25,224.600006,222.527573,10662953
17-11-2022,224.699997,224.899994,221,221.399994,219.357086,10679502
18-11-2022,222.350006,222.850006,218.699997,220.449997,218.415863,7718744
21-11-2022,220.449997,222.399994,218.399994,221.399994,219.357086,6226956
22-11-2022,221.050003,222,219.050003,220.5,218.465393,7105721
23-11-2022,221.5,222.25,220.5,220.800003,218.762634,5966239
24-11-2022,221,221.699997,219.600006,220.75,218.713089,6612342
25-11-2022,221.199997,224.850006,220.350006,224.100006,222.032181,8062766
28-11-2022,224.100006,226.449997,223.300003,224.600006,222.527573,7388645
29-11-2022,225,225.449997,222.899994,223.449997,221.388168,6165404
30-11-2022,223.550003,225.399994,222.649994,224.800003,222.725723,8815900
01-12-2022,225.25,227.149994,223.600006,224.850006,222.775269,7833074
02-12-2022,225.449997,226.350006,223.850006,225.25,223.17157,7223274
05-12-2022,225.25,225.850006,222.350006,224.199997,222.131256,10750610
06-12-2022,224.199997,230.300003,223.5,228.800003,226.688812,20071039
07-12-2022,228.800003,229.600006,225.399994,225.850006,223.766037,7548312
08-12-2022,226,227.300003,224.800003,225.050003,222.973419,7507975
09-12-2022,225.899994,226.5,217.5,219.399994,217.375549,13087278
12-12-2022,219.75,219.75,215.699997,217.699997,215.691238,8858525
13-12-2022,218.800003,220.300003,217.800003,218.850006,216.830627,7265105
14-12-2022,219.800003,223.199997,219.399994,222.699997,220.645096,9179593
15-12-2022,222.649994,224.800003,221.050003,221.800003,219.753403,7909066
16-12-2022,221,222.5,216.050003,217.350006,215.344467,10349382
19-12-2022,218,218,214.899994,216.800003,214.799545,9302368
20-12-2022,216.800003,218.5,214.600006,217.850006,215.839859,6418826
21-12-2022,218.399994,219.399994,212.5,213.800003,211.827225,9737819
22-12-2022,214.899994,215.300003,206.550003,208.899994,206.972427,14020296
23-12-2022,206.199997,207.899994,196,196.899994,195.08316,20819266
26-12-2022,197.300003,204.649994,194.600006,203.149994,201.275482,18203352
27-12-2022,206.800003,208.300003,204.800003,207.699997,205.783508,11851262
28-12-2022,207.350006,210.300003,206.800003,208.25,206.32843,8920331
29-12-2022,208.800003,208.800003,205,205.850006,203.950577,15374707
30-12-2022,207.399994,210,207,207.699997,205.783508,7372810
02-01-2023,208.75,212.199997,208.199997,211.850006,209.895218,7746971
03-01-2023,212,213,210,211.350006,209.399841,7238453
04-01-2023,211,211.350006,205.850006,208.100006,206.179825,14226706
05-01-2023,209.600006,209.75,205.149994,207.600006,205.684433,10272550
06-01-2023,207.600006,208.75,204.100006,205.399994,203.50473,9603038
09-01-2023,206.449997,207.149994,205.199997,206.199997,204.297348,6631221
10-01-2023,206.649994,207.800003,204.699997,206.050003,204.148743,8246247
11-01-2023,206.850006,207.300003,205.149994,205.850006,203.950577,7061239
12-01-2023,206.399994,206.800003,203.800003,205.699997,203.801956,6167789
13-01-2023,205.699997,206.800003,204.149994,206.449997,204.545044,5801690
16-01-2023,207.300003,208.25,206.149994,206.949997,205.040421,4396161
17-01-2023,206.899994,208.5,206,207.699997,205.783508,5676087
18-01-2023,207.649994,208.350006,207.300003,207.5,205.585358,4564618
19-01-2023,206.949997,207.5,205.050003,205.300003,203.405655,4978935
20-01-2023,205.350006,208.5,205.100006,207.199997,205.288116,6362978
23-01-2023,207.75,208,206.699997,207,205.089966,4638356
24-01-2023,207.050003,208.149994,205.5,205.850006,203.950577,6551672
25-01-2023,205.850006,206.25,200.850006,201.449997,199.591171,9681030
27-01-2023,202.5,203.850006,196.649994,202.350006,200.48288,13521282
30-01-2023,203.449997,205.800003,201.350006,204.350006,202.464432,10341362
31-01-2023,205.5,214.649994,204.449997,212.899994,210.935516,16807189
01-02-2023,214.899994,215.399994,196.649994,205.850006,203.950577,19017445
02-02-2023,204.949997,208.800003,204,206.300003,204.396423,9841415
03-02-2023,207.5,208.199997,202,205.300003,203.405655,10618799
06-02-2023,209,212.850006,206.75,208.550003,206.625671,17908243
07-02-2023,209.5,210,205,206.300003,204.396423,8095192
08-02-2023,206.300003,207.550003,204.199997,207.149994,205.238571,8259877
09-02-2023,207.199997,207.649994,203.550003,205.5,203.603806,6294658
10-02-2023,205.5,206.149994,202.850006,204.800003,202.910263,5515771
13-02-2023,205.300003,206.25,202.300003,203.600006,201.721344,6844360
14-02-2023,203.699997,204.5,201.850006,203.100006,201.225952,5125639
15-02-2023,202.649994,205.649994,202.350006,205.25,203.35611,6323738
16-02-2023,205.600006,206.399994,204.5,205.149994,203.257034,4862186
17-02-2023,204.5,206.050003,204.149994,204.699997,202.811188,5939096
20-02-2023,204.800003,205.350006,202.199997,203.800003,201.919495,7780404
21-02-2023,204.850006,209.75,204.600006,207.949997,206.031204,15068225
22-02-2023,207.550003,207.550003,201.600006,202.300003,200.433334,15048335
23-02-2023,202.800003,203.699997,200.600006,201.300003,199.442566,10723010
24-02-2023,201.899994,202.949997,201.300003,202.300003,200.433334,5212611
27-02-2023,201.949997,202.300003,197.5,199.75,197.90686,12387738
28-02-2023,200.949997,202.949997,199.550003,202.550003,200.68103,6795039
01-03-2023,203.300003,205.399994,202.399994,204.550003,202.662582,6502602
02-03-2023,204.5,206.300003,203.550003,205.600006,203.702896,6290128
03-03-2023,206.100006,209.25,206,207.75,205.833038,9201938
06-03-2023,208.5,212.899994,208.100006,210.300003,208.359512,11959992
08-03-2023,209.449997,211.899994,208.100006,211.25,209.300751,7273306
